Iteration 0, Error: 1.000000e+00
Iteration 29300, Error: 7.237732e-06
Iteration 29400, Error: 7.179948e-06
Iteration 29500, Error: 7.122655e-06
Iteration 29600, Error: 7.065847e-06
Iteration 29700, Error: 7.009521e-06
Iteration 29800, Error: 6.953673e-06
Iteration 29900, Error: 6.898298e-06
Iteration 30000, Error: 6.843393e-06
Iteration 30100, Error: 6.788953e-06
Iteration 30200, Error: 6.734974e-06
Iteration 30300, Error: 6.681453e-06
Iteration 30400, Error: 6.628386e-06
Iteration 30500, Error: 6.575768e-06
Iteration 30600, Error: 6.523595e-06
Iteration 30700, Error: 6.471865e-06
Iteration 30800, Error: 6.420572e-06
Iteration 30900, Error: 6.369714e-06
Iteration 31000, Error: 6.319286e-06
Iteration 31100, Error: 6.269285e-06
Iteration 31200, Error: 6.219707e-06
Iteration 31300, Error: 6.170549e-06
Iteration 31400, Error: 6.121806e-06
Iteration 31500, Error: 6.073475e-06
Iteration 31600, Error: 6.025553e-06
Iteration 31700, Error: 5.978037e-06
Iteration 31800, Error: 5.930921e-06
Iteration 31900, Error: 5.884204e-06
Iteration 32000, Error: 5.837881e-06
Iteration 32100, Error: 5.791949e-06
Iteration 32200, Error: 5.746405e-06
Iteration 32300, Error: 5.701246e-06
Iteration 32400, Error: 5.656467e-06
Iteration 32500, Error: 5.612066e-06
Iteration 32600, Error: 5.568039e-06
Iteration 32700, Error: 5.524384e-06
Iteration 32800, Error: 5.481097e-06
Iteration 32900, Error: 5.438174e-06
Iteration 33000, Error: 5.395612e-06
Iteration 33100, Error: 5.353409e-06
Iteration 33200, Error: 5.311561e-06
Iteration 33300, Error: 5.270066e-06
Iteration 33400, Error: 5.228919e-06
Iteration 33500, Error: 5.188118e-06
Iteration 33600, Error: 5.147660e-06
Iteration 33700, Error: 5.107542e-06
Iteration 33800, Error: 5.067761e-06
Iteration 33900, Error: 5.028314e-06
Iteration 34000, Error: 4.989198e-06
Iteration 34100, Error: 4.950410e-06
Iteration 34200, Error: 4.911948e-06
Iteration 34300, Error: 4.873807e-06
Iteration 34400, Error: 4.835987e-06
Iteration 34500, Error: 4.798483e-06
Iteration 34600, Error: 4.761294e-06
Iteration 34700, Error: 4.724415e-06
Iteration 34800, Error: 4.687845e-06
Iteration 34900, Error: 4.651581e-06
Iteration 35000, Error: 4.615620e-06
Iteration 35100, Error: 4.579960e-06
Iteration 35200, Error: 4.544597e-06
Iteration 35300, Error: 4.509530e-06
Iteration 35400, Error: 4.474755e-06
Iteration 35500, Error: 4.440271e-06
Iteration 35600, Error: 4.406074e-06
Iteration 35700, Error: 4.372162e-06
Iteration 35800, Error: 4.338532e-06
Iteration 35900, Error: 4.305182e-06
Iteration 36000, Error: 4.272110e-06
Iteration 36100, Error: 4.239313e-06
Iteration 36200, Error: 4.206789e-06
Iteration 36300, Error: 4.174535e-06
Iteration 36400, Error: 4.142549e-06
Iteration 36500, Error: 4.110828e-06
Iteration 36600, Error: 4.079371e-06
Iteration 36700, Error: 4.048175e-06
Iteration 36800, Error: 4.017237e-06
Iteration 36900, Error: 3.986556e-06
Iteration 37000, Error: 3.956128e-06
Iteration 37100, Error: 3.925953e-06
Iteration 37200, Error: 3.896027e-06
Iteration 37300, Error: 3.866349e-06
Iteration 37400, Error: 3.836916e-06
Iteration 37500, Error: 3.807726e-06
Iteration 37600, Error: 3.778777e-06
Iteration 37700, Error: 3.750067e-06
Iteration 37800, Error: 3.721593e-06
Iteration 37900, Error: 3.693355e-06
Iteration 38000, Error: 3.665349e-06
Iteration 38100, Error: 3.637574e-06
Iteration 38200, Error: 3.610027e-06
Iteration 38300, Error: 3.582707e-06
Iteration 38400, Error: 3.555611e-06
Iteration 38500, Error: 3.528738e-06
Iteration 38600, Error: 3.502086e-06
Iteration 38700, Error: 3.475652e-06
Iteration 38800, Error: 3.449436e-06
Iteration 38900, Error: 3.423434e-06
Iteration 39000, Error: 3.397645e-06
Iteration 39100, Error: 3.372067e-06
Iteration 39200, Error: 3.346699e-06
Iteration 39300, Error: 3.321538e-06
Iteration 39400, Error: 3.296583e-06
Iteration 39500, Error: 3.271831e-06
Iteration 39600, Error: 3.247282e-06
Iteration 39700, Error: 3.222933e-06
Iteration 39800, Error: 3.198783e-06
Iteration 39900, Error: 3.174829e-06
Iteration 40000, Error: 3.151071e-06
Iteration 40100, Error: 3.127505e-06
Iteration 40200, Error: 3.104132e-06
Iteration 40300, Error: 3.080949e-06
Iteration 40400, Error: 3.057954e-06
Iteration 40500, Error: 3.035145e-06
Iteration 40600, Error: 3.012522e-06
Iteration 40700, Error: 2.990082e-06
Iteration 40800, Error: 2.967825e-06
Iteration 40900, Error: 2.945747e-06
Iteration 41000, Error: 2.923848e-06
Iteration 41100, Error: 2.902126e-06
Iteration 41200, Error: 2.880580e-06
Iteration 41300, Error: 2.859208e-06
Iteration 41400, Error: 2.838009e-06
Iteration 41500, Error: 2.816981e-06
Iteration 41600, Error: 2.796122e-06
Iteration 41700, Error: 2.775431e-06
Iteration 41800, Error: 2.754907e-06
Iteration 41900, Error: 2.734549e-06
Iteration 42000, Error: 2.714354e-06
Iteration 42100, Error: 2.694321e-06
Iteration 42200, Error: 2.674449e-06
Iteration 42300, Error: 2.654737e-06
Iteration 42400, Error: 2.635183e-06
Iteration 42500, Error: 2.615786e-06
Iteration 42600, Error: 2.596544e-06
Iteration 42700, Error: 2.577456e-06
Iteration 42800, Error: 2.558521e-06
Iteration 42900, Error: 2.539738e-06
Iteration 43000, Error: 2.521104e-06
Iteration 43100, Error: 2.502620e-06
Iteration 43200, Error: 2.484283e-06
Iteration 43300, Error: 2.466092e-06
Iteration 43400, Error: 2.448046e-06
Iteration 43500, Error: 2.430144e-06
Iteration 43600, Error: 2.412384e-06
Iteration 43700, Error: 2.394766e-06
Iteration 43800, Error: 2.377288e-06
Iteration 43900, Error: 2.359948e-06
